Incident Title,Severity,Incident Date,Location,Reported By,Incident Type,Incident Category,Brief of Incident,Action Taken,Incident Status,Closed On
Network Outage,High,22/11/2025 07:00,Zone 1,Team A,Network,Recovery,Test occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,24/11/2025 07:00
Network Outage,Critical,02/02/2025 21:00,Zone 5,Monitoring Bot,People,Sabotage,T2 occurred in Zone 1.,Issue investigated. Status: In Progress.,Closed,09/02/2025 21:00
High alert,High,20/03/2025 08:00,Zone 1,VELMURUGAN Sri,System,Traffic,Test occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,
High alert,Low,10/07/2025 10:00,Zone 3,Monitoring Bot,Network,Failure,Network Outage occurred in Zone 2.,Issue investigated. Status: Open.,Closed,14/07/2025 10:00
Incident Test,Low,26/03/2025 20:00,Zone 4,Admin,System,Performance,T2 occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,02/04/2025 20:00
Login Issue,Critical,07/07/2025 22:00,Zone 2,Operator 1,System,Performance,Test occurred in Zone 3.,Issue investigated. Status: Open.,In Progress,11/07/2025 22:00
Test,Medium,01/11/2025 19:00,Zone 2,VELMURUGAN Sri,System,Failure,High alert occurred in Zone 5.,Issue investigated. Status: In Progress.,Open,
Email Delay,Low,27/06/2025 09:00,Zone 5,Monitoring Bot,Property,Traffic,T2 occurred in Zone 1.,Issue investigated. Status: Open.,Closed,03/07/2025 09:00
Test,Medium,28/02/2025 22:00,Zone 1,Operator 1,Network,Recovery,DB Failure occurred in Zone 1.,Issue investigated. Status: Closed.,In Progress,05/03/2025 22:00
Test,Critical,03/01/2025 01:00,Zone 1,Admin,System,Traffic,T2 occurred in Zone 1.,Issue investigated. Status: Open.,Open,04/01/2025 01:00
High alert,Low,01/07/2025 20:00,Zone 2,Admin,Network,Failure,High Traffic occurred in Zone 2.,Issue investigated. Status: In Progress.,Open,
Login Issue,Critical,25/11/2025 09:00,Zone 1,Team A,People,Sabotage,Login Issue occurred in Zone 5.,Issue investigated. Status: In Progress.,In Progress,01/12/2025 09:00
Email Delay,Low,21/10/2025 12:00,Zone 2,Team A,System,Sabotage,System Slowness occurred in Zone 4.,Issue investigated. Status: Open.,In Progress,27/10/2025 12:00
Email Delay,Low,04/11/2025 13:00,Zone 3,VELMURUGAN Sri,People,Recovery,Test occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,
Email Delay,Medium,17/09/2025 23:00,Zone 3,Operator 1,Network,Recovery,Test occurred in Zone 2.,Issue investigated. Status: Closed.,In Progress,18/09/2025 23:00
Incident Test,Low,27/07/2025 12:00,Zone 3,Operator 1,Property,Sabotage,High alert occurred in Zone 1.,Issue investigated. Status: Closed.,Closed,02/08/2025 12:00
T2,High,17/06/2025 17:00,Zone 5,VELMURUGAN Sri,Network,Sabotage,Test occurred in Zone 5.,Issue investigated. Status: Open.,Closed,
DB Failure,High,23/07/2025 13:00,Zone 5,Monitoring Bot,Network,Recovery,Incident Test occurred in Zone 4.,Issue investigated. Status: In Progress.,Closed,
T2,Medium,21/05/2025 13:00,Zone 3,Admin,System,Failure,Email Delay occurred in Zone 5.,Issue investigated. Status: Open.,Closed,
High alert,High,14/11/2025 21:00,Zone 4,Admin,People,Sabotage,Test occurred in Zone 4.,Issue investigated. Status: In Progress.,In Progress,
DB Failure,Critical,24/06/2025 08:00,Zone 3,Monitoring Bot,System,Recovery,Test occurred in Zone 1.,Issue investigated. Status: Closed.,Open,
Login Issue,High,08/05/2025 11:00,Zone 3,Operator 1,Network,Performance,Email Delay occurred in Zone 5.,Issue investigated. Status: In Progress.,Open,09/05/2025 11:00
High alert,Medium,01/11/2025 08:00,Zone 1,Monitoring Bot,Property,Sabotage,Email Delay occurred in Zone 3.,Issue investigated. Status: In Progress.,Closed,10/11/2025 08:00
DB Failure,Medium,30/09/2025 11:00,Zone 1,Admin,Property,Sabotage,T2 occurred in Zone 4.,Issue investigated. Status: Closed.,Closed,
Incident Test,Medium,06/08/2025 19:00,Zone 5,VELMURUGAN Sri,Network,Traffic,High Traffic occurred in Zone 2.,Issue investigated. Status: Closed.,Open,16/08/2025 19:00
System Slowness,Critical,16/06/2025 11:00,Zone 2,Monitoring Bot,System,Sabotage,Incident Test occurred in Zone 5.,Issue investigated. Status: Closed.,In Progress,18/06/2025 11:00
